date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
1952,0.003300999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1953,0.003203999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1954,0.003667999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1955,0.003226999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1956,0.003240999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1957,0.00335033333233333,B,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1958,0.003349999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1959,0.00334966666566667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1960,0.00334958333233333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1961,0.00334983333233333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1962,0.00334966666566667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1963,0.00334966666566667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1964,0.00435,B,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1965,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1966,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1967,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1968,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1969,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1970,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1971,0.0044,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1972,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1973,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1974,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1975,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1976,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1977,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1978,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1979,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1980,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1981,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1982,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1983,0.0043,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1984,0.00701666666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1985,0.0075,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1986,0.00808333333333333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1987,0.0145,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1988,0.0145,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1989,0.0346916666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1990,0.0468916666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1991,0.056825,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1992,0.0683833333333333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1993,0.0908416666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1994,0.146858333333333,B,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1995,0.176841666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1996,0.41735,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1997,0.488633333333333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1998,0.547566666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1999,0.605725,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2000,0.679966666666667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2001,0.723658333333333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2002,1.16095,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2003,1.60695833333333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2004,1.89133333333333,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2005,2.08975,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2006,2.147,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2007,2.147,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2008,2.147,B,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2009,2.147,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2010,2.58206031746032,B,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2011,4.2893,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2012,4.2893,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2013,6.04796184166667,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2014,6.2842,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2015,6.2842,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2016,9.25734444444167,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
2017,9.975,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1950,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1951,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1952,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1953,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1954,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1955,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1956,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
1957,1.88586000088586,,A,AN,ENDA_XDC_USD_RATE,0,P1Y
